FID,Join_Count,TARGET_FID,GRIDCODE,OBJECTID,TNMID,MetaSource,SourceData,SourceOrig,SourceFeat,LoadDate,GNIS_ID,AreaAcres,AreaSqKm,States,HUC10,Name,HUType,HUMod,Shape_Leng,Shape_Le_1,Shape_Area,ws_id,area_km2,area_acres
29,1,29,1637867,1026,{20D05D6A-AD99-4937-953E-4CAB7940F367}, , , , ,10/24/2012 0:00:00,0,46480.000000000000000,188.099999999999994,CA,1802012503,Middle North Yuba River,S, ,0.773588527645000,73985.418122100003529,188099709.502000004053116,20,188.099709501999996,46480.450470399999176
30,1,30,1683585,1029,{BF5A33D3-8628-4D08-A5F0-9750878E19E9}, , , , ,10/24/2012 0:00:00,0,126646.000000000000000,512.519999999999982,CA,1802012506,Upper South Yuba River,S, ,1.364245326360000,130777.730070999998134,512522299.513999998569489,23,512.522299513999997,126647.018332000006922
31,1,31,1701653,1043,{4B4BE70D-C04A-4D46-B9F2-8230C4DB21EC}, , , , ,10/24/2012 0:00:00,0,62221.000000000000000,251.800000000000011,CA,1802012805,Lower Middle Fork American River,S, ,1.202353616170000,116418.356195999993361,251800828.636999994516373,35,215.635146179000003,53284.605054400002700
32,1,32,1898927,1024,{76C7DAB3-E4BB-4B75-A58F-B3EFE23248AA}, , , , ,10/24/2012 0:00:00,0,46416.000000000000000,187.840000000000003,CA,1802012501,Downie River,S, ,0.651242400495000,62922.880873900001461,187840893.986999988555908,18,187.840893986999987,46416.495763699997042
33,1,33,1995586,1030,{D5095688-8C63-4ED7-AE4A-4692F69DC8F3}, , , , ,10/24/2012 0:00:00,0,98476.000000000000000,398.519999999999982,CA,1802012507,Lower South Yuba River,S, ,1.516010418150000,142996.951786999998149,398515463.977999985218048,24,331.124901813000008,81822.745175799995195
34,1,34,2508691,1025,{1A7C4E3E-1A6C-4573-88F8-6F80ACBCD0DD}, , , , ,10/24/2012 0:00:00,0,90458.000000000000000,366.069999999999993,CA,1802012502,Upper North Yuba River,S, ,1.126342061480000,106542.014853000000585,366069855.985000014305115,19,366.069855985000004,90457.831406800003606
35,1,35,2767453,1028,{D7833969-288D-4A56-AC1F-76FE928DA09B}, , , , ,10/24/2012 0:00:00,0,134493.000000000000000,544.269999999999982,CA,1802012505,Middle Yuba River,S, ,1.836231971070000,172250.361824999999953,544277799.493999958038330,22,544.277799493999964,134493.973268000001553
36,1,36,3069495,1040,{6BA2D570-037E-4631-894C-41A96D83F4EA}, , , , ,10/24/2012 0:00:00,0,201824.000000000000000,816.750000000000000,CA,1802012802,Rubicon River,S, ,1.959981914680000,188512.140126999991480,816755858.513000011444092,32,816.755858513000021,201824.767982999997912
37,1,37,3388507,1027,{E6A6198A-2BD8-4C84-A573-FA09BFBD99A1}, , , , ,10/24/2012 0:00:00,0,130769.000000000000000,529.200000000000045,CA,1802012504,Lower North Yuba River,S, ,1.656863538390000,160776.701807000004919,529205800.360000014305115,21,529.182840304000024,130763.927618999994593
38,1,38,3581959,1039,{636616DE-B59A-4FCB-8B62-5704783C0F66}, , , , ,10/24/2012 0:00:00,0,162366.000000000000000,657.070000000000050,CA,1802012801,Upper North Fork American River,S, ,1.920467354410000,183057.888940000004368,657077738.108999967575073,31,657.077738109000052,162367.445128999999724
